class_id,label
0,apple pie
1,baby back ribs
2,baklava
3,beef carpaccio
4,beef tartare
5,beet salad
6,beignets
7,bibimbap
8,bread pudding
9,breakfast burrito
10,bruschetta
11,caesar salad
12,cannoli
13,caprese salad
14,carrot cake
15,ceviche
16,cheese plate
17,cheesecake
18,chicken curry
19,chicken quesadilla
20,chicken wings
21,chocolate cake
22,chocolate mousse
23,churros
24,clam chowder
25,club sandwich
26,crab cakes
27,creme brulee
28,croque madame
29,cup cakes
30,deviled eggs
31,donuts
32,dumplings
33,edamame
34,eggs benedict
35,escargots
36,falafel
37,filet mignon
38,fish and chips
39,foie gras
40,french fries
41,french onion soup
42,french toast
43,fried calamari
44,fried rice
45,frozen yogurt
46,garlic bread
47,gnocchi
48,greek salad
49,grilled cheese sandwich
50,grilled salmon
51,guacamole
52,gyoza
53,hamburger
54,hot and sour soup
55,hot dog
56,huevos rancheros
57,hummus
58,ice cream
59,lasagna
60,lobster bisque
61,lobster roll sandwich
62,macaroni and cheese
63,macarons
64,miso soup
65,mussels
66,nachos
67,omelette
68,onion rings
69,oysters
70,pad thai
71,paella
72,pancakes
73,panna cotta
74,peking duck
75,pho
76,pizza
77,pork chop
78,poutine
79,prime rib
80,pulled pork sandwich
81,ramen
82,ravioli
83,red velvet cake
84,risotto
85,samosa
86,sashimi
87,scallops
88,seaweed salad
89,shrimp and grits
90,spaghetti bolognese
91,spaghetti carbonara
92,spring rolls
93,steak
94,strawberry shortcake
95,sushi
96,tacos
97,takoyaki
98,tiramisu
99,tuna tartare
100,waffles
