id,name,common_name,super_category,kingdom,phylum,class,order,family,genus,specific_epithet
0,Lumbricus terrestris,Common Earthworm,Animalia,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,terrestris
1,Sabella spallanzanii,Mediterranean Fanworm,Animalia,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,spallanzanii
2,Serpula columbiana,Serpula columbiana,Animalia,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,columbiana
3,Spirobranchus cariniferus,Blue Tube Worm,Animalia,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,cariniferus
4,Eratigena duellica,Giant House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Eratigena,duellica
5,Atypoides riversi,California Turret Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Antrodiaetidae,Atypoides,riversi
6,Aculepeira ceropegia,Oak Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Aculepeira,ceropegia
7,Agalenatea redii,Gorse Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Agalenatea,redii
8,Araneus bicentenarius,Giant Lichen Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,bicentenarius
9,Araneus diadematus,Cross Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,diadematus
10,Araneus marmoreus,Marbled Orb Weaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,marmoreus
11,Araneus quadratus,Four-spot Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus
12,Araneus trifolium,Shamrock Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,trifolium
13,Araniella displicata,Six-spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araniella,displicata
14,Argiope appensa,Hawaiian Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,appensa
15,Argiope argentata,Silver Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,argentata
16,Argiope aurantia,Yellow Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,aurantia
17,Argiope australis,Common Garden Orbweb Spinner,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,australis
18,Argiope bruennichi,Wasp Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,bruennichi
19,Argiope keyserlingi,St. Andrew's Cross Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,keyserlingi
20,Argiope lobata,Lobed Argiope,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,lobata
21,Argiope trifasciata,Banded Garden Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,trifasciata
22,Austracantha minax,Australian Jewel Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Austracantha,minax
23,Cyclosa conica,Conical Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyclosa,conica
24,Cyclosa turbinata,Humped Trashline Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyclosa,turbinata
25,Cyrtophora citricola,Tropical Tent-web Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyrtophora,citricola
26,Eriophora pustulosa,Garden Orbweb Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eriophora,pustulosa
27,Eriophora ravilla,Tropical Orbweaver Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eriophora,ravilla
28,Gasteracantha cancriformis,Spinybacked Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Gasteracantha,cancriformis
29,Gasteracantha kuhli,Black-and-white Spiny Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Gasteracantha,kuhli
30,Larinioides cornutus,Furrow Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Larinioides,cornutus
