label,parent_label,idx,parent_idx
['physical_entity'],['entity'],1,0
"['abstraction', 'abstract_entity']",['entity'],2,0
['thing'],['entity'],3,0
"['process', 'physical_process']",['physical_entity'],4,1
"['object', 'physical_object']",['physical_entity'],5,1
"['causal_agent', 'cause', 'causal_agency']",['physical_entity'],6,1
['relation'],"['abstraction', 'abstract_entity']",7,2
"['measure', 'quantity', 'amount']","['abstraction', 'abstract_entity']",8,2
"['group', 'grouping']","['abstraction', 'abstract_entity']",9,2
['matter'],['physical_entity'],10,1
['substance'],['physical_entity'],11,1
['attribute'],"['abstraction', 'abstract_entity']",12,2
['communication'],"['abstraction', 'abstract_entity']",13,2
['otherworld'],"['abstraction', 'abstract_entity']",14,2
['psychological_feature'],"['abstraction', 'abstract_entity']",15,2
['set'],"['abstraction', 'abstract_entity']",16,2
['thing'],['physical_entity'],17,1
['common_denominator'],['attribute'],18,12
['danger'],"['causal_agent', 'cause', 'causal_agency']",19,6
['theurgy'],"['causal_agent', 'cause', 'causal_agency']",20,6
"['geological_formation', 'formation']","['object', 'physical_object']",21,5
['biological_group'],"['group', 'grouping']",22,9
['catalyst'],"['causal_agent', 'cause', 'causal_agency']",23,6
['location'],"['object', 'physical_object']",24,5
['wall'],"['object', 'physical_object']",25,5
['vegetable_matter'],['matter'],26,10
"['expressive_style', 'style']",['communication'],27,13
"['paralanguage', 'paralinguistic_communication']",['communication'],28,13
['glop'],['matter'],29,10
['web'],"['object', 'physical_object']",30,5
['agent'],"['causal_agent', 'cause', 'causal_agency']",31,6
['ylem'],['matter'],32,10
['vagabond'],"['object', 'physical_object']",33,5
['antimatter'],['matter'],34,10
"['keepsake', 'souvenir', 'token', 'relic']","['object', 'physical_object']",35,5
['time'],['attribute'],36,12
"['inheritance', 'heritage']",['attribute'],37,12
['didacticism'],['communication'],38,13
"['sludge', 'slime', 'goo', 'goop', 'gook', 'guck', 'gunk', 'muck', 'ooze']",['matter'],39,10
"['language', 'linguistic_communication']",['communication'],40,13
['dark_matter'],['matter'],41,10
['catch'],"['object', 'physical_object']",42,5
['finding'],"['object', 'physical_object']",43,5
['auditory_communication'],['communication'],44,13
['hail'],"['object', 'physical_object']",45,5
['nature'],"['causal_agent', 'cause', 'causal_agency']",46,6
"['property', 'prop']","['object', 'physical_object']",47,5
['snake'],"['object', 'physical_object']",48,5
"['indication', 'indicant']",['communication'],49,13
"['neighbor', 'neighbour']","['object', 'physical_object']",50,5
['floater'],"['object', 'physical_object']",51,5
['voice'],['communication'],52,13
['remains'],"['object', 'physical_object']",53,5
['residue'],['matter'],54,10
['message'],['communication'],55,13
['system'],['matter'],56,10
"['fomite', 'vehicle']","['object', 'physical_object']",57,5
"['voice', 'vocalization', 'vocalisation', 'vocalism', 'phonation', 'vox']",['communication'],58,13
"['sediment', 'deposit']",['matter'],59,10
['trait'],['attribute'],60,12
"['message', 'content', 'subject_matter', 'substance']",['communication'],61,13
"['land', 'ground', 'soil']","['object', 'physical_object']",62,5
['moon'],"['object', 'physical_object']",63,5
['visual_communication'],['communication'],64,13
"['triviality', 'trivia', 'trifle', 'small_beer']","['object', 'physical_object']",65,5
"['land', 'dry_land', 'earth', 'ground', 'solid_ground', 'terra_firma']","['object', 'physical_object']",66,5
['sign'],['communication'],67,13
['stuff'],"['object', 'physical_object']",68,5
['document'],['communication'],69,13
"['part', 'portion']","['object', 'physical_object']",70,5
['discard'],"['object', 'physical_object']",71,5
['paring'],"['object', 'physical_object']",72,5
"['power', 'force']","['causal_agent', 'cause', 'causal_agency']",73,6
['engine'],"['causal_agent', 'cause', 'causal_agency']",74,6
"['supernatural', 'occult']","['causal_agent', 'cause', 'causal_agency']",75,6
"['cause_of_death', 'killer']","['causal_agent', 'cause', 'causal_agency']",76,6
['film'],"['object', 'physical_object']",77,5
